payment_id,order_id,amount,payment_status,payment_date,payment_method,gateway_reference
PAY0084,ORD0084,2999,captured,2026-07-28 13:14:49,UPI,GW-509386
PAY0085,ORD0085,1999,captured,2026-08-17 07:42:29,Net Banking,GW-399105
PAY0086,ORD0086,2999,captured,2026-08-19 14:08:09,Net Banking,GW-262316
PAY0087,ORD0087,1499,captured,2026-07-30 23:04:30,Debit Card,GW-328275
PAY0088,ORD0088,499,captured,2026-08-16 19:13:56,UPI,GW-884309
PAY0089,ORD0089,2499,captured,2026-08-01 17:52:30,UPI,GW-152578
PAY0090,ORD0090,4999,captured,2026-08-19 08:16:22,Credit Card,GW-159642
PAY0091,ORD0091,799,captured,2026-08-14 06:28:47,Credit Card,GW-171849
PAY0092,ORD0092,799,captured,2026-08-19 21:48:49,Credit Card,GW-523389
PAY0093,ORD0093,799,captured,2026-08-08 20:39:50,Credit Card,GW-707040
PAY0094,ORD0094,499,captured,2026-08-11 20:33:17,UPI,GW-539589
PAY0095,ORD0095,2499,captured,2026-08-18 20:30:28,Debit Card,GW-314181
PAY0096,ORD0096,2499,captured,2026-07-30 14:28:06,Credit Card,GW-378517
PAY0097,ORD0097,2999,captured,2026-08-04 15:16:46,Credit Card,GW-804318
PAY0098,ORD0098,1999,captured,2026-08-10 03:23:11,Net Banking,GW-431535
PAY0099,ORD0099,799,captured,2026-08-20 14:51:13,UPI,GW-580547
PAY0100,ORD0100,799,captured,2026-08-04 10:03:36,UPI,GW-663750
DUP_PAY0083,ORD0084,2999,captured,2026-07-28 13:14:49,UPI,GW-509386
DUP_PAY0084,ORD0085,1999,captured,2026-08-17 07:42:29,Net Banking,GW-399105
DUP_PAY0085,ORD0086,2999,captured,2026-08-19 14:08:09,Net Banking,GW-262316
