payment_id,order_id,payment_amount,status,exception_type,settlement_id,settlement_amount,match_method,agent_decision,resolution_status,action_taken,financial_risk,confidence,auto_resolvable,ai_response_valid,human_review_required,guardrail_violations,final_processing_status
PAY0023,ORD0023,2499,MATCHED,,SET0023,2499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0024,ORD0024,1999,MATCHED,,SET0024,1999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0025,ORD0025,999,MATCHED,,SET0025,999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0026,ORD0026,4999,MATCHED,,SET0026,4999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0027,ORD0027,1499,MATCHED,,SET0027,1499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0028,ORD0028,499,MATCHED,,SET0028,499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0029,ORD0029,499,MATCHED,,SET0029,499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0030,ORD0030,1999,MATCHED,,SET0030,1999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0031,ORD0031,2499,MATCHED,,SET0031,2499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0032,ORD0032,4999,MATCHED,,SET0032,4999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0033,ORD0033,4999,MATCHED,,SET0033,4999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0034,ORD0034,999,MATCHED,,SET0034,999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0035,ORD0035,1999,MATCHED,,SET0035,1999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0036,ORD0036,2999,MATCHED,,SET0036,2999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0037,ORD0037,999,MATCHED,,SET0037,999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0038,ORD0038,499,MATCHED,,SET0038,499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0039,ORD0039,999,MATCHED,,SET0039,999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0040,ORD0040,799,MATCHED,,SET0040,799.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0041,ORD0041,4999,MATCHED,,SET0041,4999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0042,ORD0042,499,MATCHED,,SET0042,499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0043,ORD0043,1999,MATCHED,,SET0043,1999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0044,ORD0044,1999,MATCHED,,SET0044,1999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0045,ORD0045,4999,MATCHED,,SET0045,4999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0046,ORD0046,1999,MATCHED,,SET0046,1999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0047,ORD0047,799,MATCHED,,SET0047,799.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0048,ORD0048,1499,MATCHED,,SET0048,1499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0049,ORD0049,999,MATCHED,,SET0049,999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0050,ORD0050,2499,MATCHED,,SET0050,2499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0051,ORD0051,799,MATCHED,,SET0051,799.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0052,ORD0052,1999,MATCHED,,SET0052,1999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0053,ORD0053,1499,MATCHED,,SET0053,1499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0054,ORD0054,4999,MATCHED,,SET0054,4999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0055,ORD0055,999,MATCHED,,SET0055,999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0056,ORD0056,4999,MATCHED,,SET0056,4999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0057,ORD0057,2999,MATCHED,,SET0057,2999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0058,ORD0058,1499,MATCHED,,SET0058,1499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0059,ORD0059,2499,MATCHED,,SET0059,2499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0060,ORD0060,4999,MATCHED,,SET0060,4999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0061,ORD0061,1499,MATCHED,,SET0061,1499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0062,ORD0062,499,MATCHED,,SET0062,499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0063,ORD0063,1499,MATCHED,,SET0063,1499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0064,ORD0064,499,MATCHED,,SET0064,499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0065,ORD0065,499,MATCHED,,SET0065,499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0066,ORD0066,1499,MATCHED,,SET0066,1499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0067,ORD0067,4999,MATCHED,,SET0067,4999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0068,ORD0068,999,MATCHED,,SET0068,999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0069,ORD0069,4999,MATCHED,,SET0069,4999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0070,ORD0070,799,MATCHED,,SET0070,799.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0071,ORD0071,2999,EXCEPTION,AMOUNT_MISMATCH,SET0071,2899.0,EXACT_REFERENCE,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,HIGH,0.95,False,True,True,,MANUAL_REVIEW_REQUIRED
PAY0072,ORD0072,2999,EXCEPTION,AMOUNT_MISMATCH,SET0072,2899.0,EXACT_REFERENCE,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,HIGH,0.95,False,True,True,,MANUAL_REVIEW_REQUIRED
PAY0073,ORD0073,499,EXCEPTION,AMOUNT_MISMATCH,SET0073,399.0,EXACT_REFERENCE,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,HIGH,0.95,False,True,True,,MANUAL_REVIEW_REQUIRED
PAY0074,ORD0074,2999,EXCEPTION,AMOUNT_MISMATCH,SET0074,2899.0,EXACT_REFERENCE,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,HIGH,0.95,False,True,True,,MANUAL_REVIEW_REQUIRED
PAY0075,ORD0075,799,EXCEPTION,AMOUNT_MISMATCH,SET0075,699.0,EXACT_REFERENCE,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,HIGH,0.95,False,True,True,,MANUAL_REVIEW_REQUIRED
PAY0076,ORD0076,1499,EXCEPTION,MISSING_SETTLEMENT,,,REFERENCE_RECOVERY_FAILED,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,HIGH,0.9,False,True,True,,MANUAL_REVIEW_REQUIRED
PAY0077,ORD0077,2999,EXCEPTION,MISSING_SETTLEMENT,,,REFERENCE_RECOVERY_FAILED,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,HIGH,0.9,False,True,True,,MANUAL_REVIEW_REQUIRED
PAY0078,ORD0078,4999,EXCEPTION,MISSING_SETTLEMENT,,,REFERENCE_RECOVERY_FAILED,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,HIGH,0.9,False,True,True,,MANUAL_REVIEW_REQUIRED
PAY0079,ORD0079,4999,EXCEPTION,MISSING_SETTLEMENT,,,REFERENCE_RECOVERY_FAILED,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,HIGH,0.9,False,True,True,,MANUAL_REVIEW_REQUIRED
PAY0080,ORD0080,499,EXCEPTION,MISSING_SETTLEMENT,,,REFERENCE_RECOVERY_FAILED,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,HIGH,0.9,False,True,True,,MANUAL_REVIEW_REQUIRED
PAY0081,ORD_MISSING_80,1499,EXCEPTION,MISSING_ORDER,,,ORDER_VALIDATION,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,HIGH,0.95,False,True,True,,MANUAL_REVIEW_REQUIRED
PAY0082,ORD_MISSING_81,4999,EXCEPTION,MISSING_ORDER,,,ORDER_VALIDATION,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,HIGH,0.95,False,True,True,,MANUAL_REVIEW_REQUIRED
PAY0083,ORD_MISSING_82,2999,EXCEPTION,MISSING_ORDER,,,ORDER_VALIDATION,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,HIGH,0.95,False,True,True,,MANUAL_REVIEW_REQUIRED
PAY0084,ORD0084,2999,EXCEPTION,DUPLICATE_PAYMENT,,,DUPLICATE_DETECTION,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,HIGH,0.95,False,True,True,,MANUAL_REVIEW_REQUIRED
PAY0085,ORD0085,1999,EXCEPTION,DUPLICATE_PAYMENT,,,DUPLICATE_DETECTION,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,HIGH,0.95,False,True,True,,MANUAL_REVIEW_REQUIRED
PAY0086,ORD0086,2999,EXCEPTION,DUPLICATE_PAYMENT,,,DUPLICATE_DETECTION,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,HIGH,0.95,False,True,True,,MANUAL_REVIEW_REQUIRED
PAY0087,ORD0087,1499,MATCHED,,SET0087,1499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0088,ORD0088,499,MATCHED,,SET0088,499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0089,ORD0089,2499,MATCHED,,SET0089,2499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0090,ORD0090,4999,MATCHED,,SET0090,4999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0091,ORD0091,799,MATCHED,,SET0091,799.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0092,ORD0092,799,EXCEPTION,REFERENCE_MISMATCH,SET0092,799.0,REFERENCE_RECOVERY,AUTO_RESOLVE,RESOLVED,LINK_RECOVERED_SETTLEMENT,LOW,0.92,True,True,False,,RESOLVED
PAY0093,ORD0093,799,EXCEPTION,REFERENCE_MISMATCH,SET0093,799.0,REFERENCE_RECOVERY,AUTO_RESOLVE,RESOLVED,LINK_RECOVERED_SETTLEMENT,LOW,0.92,True,True,False,,RESOLVED
PAY0094,ORD0094,499,EXCEPTION,REFERENCE_MISMATCH,SET0094,499.0,REFERENCE_RECOVERY,AUTO_RESOLVE,RESOLVED,LINK_RECOVERED_SETTLEMENT,LOW,0.92,True,True,False,,RESOLVED
PAY0095,ORD0095,2499,EXCEPTION,REFERENCE_MISMATCH,SET0095,2499.0,REFERENCE_RECOVERY,AUTO_RESOLVE,RESOLVED,LINK_RECOVERED_SETTLEMENT,LOW,0.92,True,True,False,,RESOLVED
PAY0096,ORD0096,2499,MATCHED,,SET0096,2499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0097,ORD0097,2999,MATCHED,,SET0097,2999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0098,ORD0098,1999,MATCHED,,SET0098,1999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0099,ORD0099,799,MATCHED,,SET0099,799.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0100,ORD0100,799,MATCHED,,SET0100,799.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
DUP_PAY0083,ORD0084,2999,EXCEPTION,DUPLICATE_PAYMENT,,,DUPLICATE_DETECTION,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,HIGH,0.95,False,True,True,,MANUAL_REVIEW_REQUIRED
DUP_PAY0084,ORD0085,1999,EXCEPTION,DUPLICATE_PAYMENT,,,DUPLICATE_DETECTION,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,HIGH,0.95,False,True,True,,MANUAL_REVIEW_REQUIRED
DUP_PAY0085,ORD0086,2999,EXCEPTION,DUPLICATE_PAYMENT,,,DUPLICATE_DETECTION,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,HIGH,0.95,False,True,True,,MANUAL_REVIEW_REQUIRED
